City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Amberley,US,2021-01-31 15:02:37,39.2048,-84.428,36.0,100,90,8.05
162,Maridi,SS,2021-01-31 15:02:37,4.9158,29.4742,95.16,16,92,7.07
163,Barrow,US,2021-01-31 15:01:30,71.2906,-156.7887,-16.6,69,90,9.22
164,Muswellbrook,AU,2021-01-31 15:02:38,-32.2667,150.9,72.0,78,93,1.01
165,Ponta Delgada,PT,2021-01-31 15:02:38,37.7333,-25.6667,62.6,94,75,12.66
166,Rohatyn,UA,2021-01-31 15:02:38,49.409,24.6093,30.2,64,75,2.24
167,Pokrovsk,UA,2021-01-31 15:02:38,48.282,37.1758,32.72,90,90,7.58
168,Lata,PT,2021-01-31 15:02:38,40.1629,-8.3327,61.0,100,100,13.0
169,Papayal,PE,2021-01-31 15:02:38,-4.0761,-80.7361,84.24,47,0,0.47
170,Puro,PH,2021-01-31 15:02:39,12.4841,123.3827,76.96,78,91,13.13
171,Nome,US,2021-01-31 15:02:39,64.5011,-165.4064,-4.0,59,75,5.75
172,Luang Prabang,LA,2021-01-31 15:02:39,19.8856,102.1347,66.4,72,48,0.63
173,Ciudad Bolivar,VE,2021-01-31 15:02:39,8.1222,-63.5497,84.94,59,95,12.01
174,Palmer,US,2021-01-31 15:02:39,42.1584,-72.3287,12.99,61,20,8.05
175,Inhambane,MZ,2021-01-31 15:02:40,-23.865,35.3833,87.8,66,20,11.5
176,Koshurnikovo,RU,2021-01-31 15:02:40,54.1667,93.3,-16.33,87,11,3.65
177,Tiksi,RU,2021-01-31 15:02:40,71.6872,128.8694,-26.16,86,100,6.11
178,Kuching,MY,2021-01-31 15:00:23,1.55,110.3333,77.0,94,40,5.75
179,Gravina In Puglia,IT,2021-01-31 15:02:40,40.8197,16.4228,51.01,84,100,15.01
180,Rio Claro,BR,2021-01-31 15:02:40,-22.4114,-47.5614,91.0,54,0,5.75
181,Hualmay,PE,2021-01-31 15:02:41,-11.0964,-77.6139,75.79,66,49,11.48
182,Champerico,GT,2021-01-31 15:02:41,14.3,-91.9167,73.4,68,0,7.25
183,Monkey Hill,KN,2021-01-31 15:02:41,17.3167,-62.7167,82.4,65,40,17.27
184,Paita,PE,2021-01-31 15:02:41,-5.0892,-81.1144,78.8,61,0,14.97
185,Zhuhai,CN,2021-01-31 15:02:41,22.2769,113.5678,70.0,82,40,4.61
186,Kaseda,JP,2021-01-31 15:02:41,31.4167,130.3167,41.0,67,0,4.0
187,Waddan,LY,2021-01-31 15:02:41,29.1614,16.139,78.78,16,0,18.34
188,Sosnovo-Ozerskoye,RU,2021-01-31 15:02:42,52.5249,111.5418,-26.39,84,32,11.43
189,Kayes,ML,2021-01-31 15:02:42,14.0,-11.0,97.14,8,100,8.57
190,Clyde River,CA,2021-01-31 15:02:42,70.4692,-68.5914,5.0,78,90,20.71
191,Praia Da Vitoria,PT,2021-01-31 15:02:42,38.7333,-27.0667,68.0,83,40,24.92
192,Kahului,US,2021-01-31 15:00:19,20.8947,-156.47,69.8,83,40,14.97
193,Toora-Khem,RU,2021-01-31 15:02:42,52.4675,96.11,-18.2,84,7,1.79
194,Abu Dhabi,AE,2021-01-31 14:58:53,24.4667,54.3667,71.6,64,0,12.66
195,Ureki,GE,2021-01-31 15:02:43,41.9956,41.7786,53.6,76,40,4.61
196,Husavik,IS,2021-01-31 15:02:43,66.0449,-17.3389,12.2,79,0,4.61
197,Broome,US,2021-01-31 15:02:43,42.2506,-75.833,12.99,92,1,5.75
198,Vila Velha,BR,2021-01-31 15:02:09,-20.3297,-40.2925,89.6,55,40,12.66
199,Lazaro Cardenas,MX,2021-01-31 15:00:01,17.9583,-102.2,77.85,72,4,3.47
200,Te Anau,NZ,2021-01-31 15:02:44,-45.4167,167.7167,50.38,86,92,2.71
201,Longyearbyen,SJ,2021-01-31 15:02:44,78.2186,15.6401,-5.8,59,20,18.41
202,Carnarvon,AU,2021-01-31 15:02:44,-24.8667,113.6333,84.2,70,20,16.11
203,Beringovskiy,RU,2021-01-31 15:02:44,63.05,179.3167,8.44,95,100,25.48
204,Rawson,AR,2021-01-31 15:02:44,-43.3002,-65.1023,75.85,29,24,16.26
205,Tupiza,BO,2021-01-31 15:02:44,-21.45,-65.7167,70.86,29,4,8.5
