City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Ville-Marie,CA,47.3335,-79.433,23.0,80,90,20.71,light snow
196,Labuhan,ID,-6.8844,112.2051,81.19,80,99,11.1,overcast clouds
197,Linqu,CN,36.5156,118.5397,53.01,38,0,9.53,clear sky
198,Oktyabrskiy,RU,54.4815,53.471,26.15,97,100,10.98,overcast clouds
199,Bud,US,39.447,-86.1758,30.0,74,67,8.81,broken clouds
200,Ust-Omchug,RU,61.15,149.6333,-15.99,83,80,2.8,broken clouds
201,Provideniya,RU,64.3833,-173.3,8.92,92,100,11.1,overcast clouds
202,Gizo,SB,-8.103,156.8419,84.38,73,50,12.06,light rain
203,Thompson,CA,55.7435,-97.8558,-22.0,69,75,13.8,snow
204,Raga,SS,8.4596,25.678,63.52,28,27,6.38,scattered clouds
205,Huarmey,PE,-10.0681,-78.1522,71.01,76,100,7.9,overcast clouds
206,Husavik,IS,66.0449,-17.3389,30.2,69,40,4.61,scattered clouds
207,Yakeshi,CN,49.2833,120.7333,-12.89,87,0,2.46,clear sky
208,Waipawa,NZ,-41.4122,175.5153,62.01,77,90,13.8,overcast clouds
209,Pevek,RU,69.7008,170.3133,-14.49,85,100,1.63,overcast clouds
210,Lavrentiya,RU,65.5833,-171.0,2.86,92,100,14.97,light snow
211,Tasiilaq,GL,65.6145,-37.6368,26.6,74,75,21.85,light snow
212,Abilene,US,32.4487,-99.7331,53.6,40,1,6.91,clear sky
213,Ostrovnoy,RU,68.0531,39.5131,15.35,92,100,10.29,overcast clouds
214,Faanui,PF,-16.4833,-151.75,81.39,65,0,5.26,light rain
215,North Bend,US,43.4065,-124.2243,51.01,93,75,9.22,broken clouds
216,Karachi,PK,24.9056,67.0822,51.8,58,0,4.61,haze
217,Camargo,MX,27.6667,-105.1667,66.51,21,0,4.05,clear sky
218,Erzin,TR,36.9559,36.2,51.01,79,0,1.99,clear sky
219,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,0,1.14,clear sky
220,Slave Lake,CA,55.2834,-114.769,-7.6,77,90,6.91,light snow
221,Malpe,IN,13.35,74.7167,73.4,88,2,4.18,mist
222,Kungurtug,RU,50.5994,97.5228,-3.53,84,88,1.72,light snow
223,San Patricio,US,28.017,-97.5169,57.99,77,90,12.66,overcast clouds
224,Esperance,AU,-33.8667,121.9,62.6,88,75,9.22,broken clouds
225,Tonj,SS,7.2737,28.6822,71.89,22,64,7.54,broken clouds
226,Amapa,BR,1.0,-52.0,73.26,97,100,3.49,overcast clouds
227,Puerto Escondido,MX,15.85,-97.0667,80.6,69,75,3.44,broken clouds
228,Yulara,AU,-25.2406,130.9889,78.8,24,0,14.97,clear sky
229,Gurupa,BR,-1.405,-51.64,78.64,80,99,5.26,overcast clouds
230,Luderitz,NA,-26.6481,15.1594,70.23,51,0,21.12,clear sky
231,Dickinson,US,29.4608,-95.0513,54.0,81,90,8.05,overcast clouds
232,Minot,US,48.2325,-101.2963,-2.2,65,1,16.11,clear sky
233,Svetlaya,RU,46.5389,138.3297,15.17,88,97,4.76,overcast clouds
234,High Level,CA,58.5169,-117.136,-18.4,69,1,3.44,clear sky
235,Torbay,CA,47.6666,-52.7314,36.0,93,90,26.46,light snow
236,Cayenne,GF,4.9333,-52.3333,78.8,89,75,9.22,broken clouds
237,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,59,75,19.57,broken clouds
238,Rio Gallegos,AR,-51.6226,-69.2181,51.8,54,0,11.5,clear sky
239,Sibu,MY,2.3,111.8167,77.0,94,40,3.44,scattered clouds
240,Novobirilyussy,RU,56.9514,90.6661,9.5,94,99,5.23,overcast clouds
241,Chihuahua,MX,28.5,-106.0,71.6,16,1,11.5,clear sky
242,Kodinsk,RU,58.6881,99.1844,-0.45,91,100,3.91,overcast clouds
243,Saint George,US,37.1041,-113.5841,55.99,24,1,16.11,clear sky
244,Napa,US,38.4832,-122.3344,61.0,67,0,1.83,clear sky
245,Inhambane,MZ,-23.865,35.3833,78.04,86,99,7.85,overcast clouds
246,Saint Anthony,US,45.0205,-93.218,8.6,61,1,13.8,clear sky
247,Asyut,EG,27.181,31.1837,51.8,76,0,10.36,clear sky
248,Ketchikan,US,55.3422,-131.6461,37.4,87,90,3.44,overcast clouds
249,Surgut,RU,61.25,73.4167,19.4,100,90,11.18,light snow
250,Dryden,CA,49.7833,-92.7503,-2.2,78,90,8.05,light snow
251,Flinders,AU,-34.5833,150.8552,70.0,93,100,13.0,light rain
252,Arys,KZ,42.4252,68.795,41.0,65,0,2.98,clear sky
253,Hofn,IS,64.2539,-15.2082,37.42,78,100,16.26,light rain
254,Pangnirtung,CA,66.1451,-65.7125,23.16,93,100,4.92,overcast clouds
255,Solnechnyy,RU,50.7214,136.6319,-9.8,83,99,3.76,overcast clouds
256,Pochutla,MX,15.7432,-96.4661,78.8,73,75,11.5,broken clouds
257,Aklavik,CA,68.2191,-135.0107,-32.8,68,20,4.61,few clouds
258,Polunochnoye,RU,60.8697,60.4153,-4.18,93,100,8.81,snow
259,Shenjiamen,CN,29.9576,122.298,49.28,87,0,6.89,clear sky
260,Haines Junction,CA,60.7522,-137.5108,-13.0,70,100,1.14,overcast clouds
261,Panzhihua,CN,26.5851,101.7128,42.01,61,37,0.94,scattered clouds
262,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,21.85,few clouds
263,Berlevag,NO,70.8578,29.0864,26.82,92,100,21.61,light snow
264,Sur,OM,22.5667,59.5289,63.28,61,0,6.38,clear sky
265,Dunedin,NZ,-45.8742,170.5036,61.0,72,34,28.01,scattered clouds
266,Uyemskiy,RU,64.4743,40.8524,3.2,72,75,8.95,light snow
267,Sao Filipe,CV,14.8961,-24.4956,70.16,74,17,13.38,few clouds
268,Chuy,UY,-33.6971,-53.4616,60.49,84,10,6.73,clear sky
269,Sao Gotardo,BR,-19.3111,-46.0489,66.99,100,100,4.38,overcast clouds
270,Manhush,UA,47.0558,37.3107,21.99,53,62,10.0,broken clouds
271,Kosh-Agach,RU,50.0,88.6667,0.05,87,88,1.3,overcast clouds
272,Georgetown,MY,5.4112,100.3354,82.0,74,20,5.06,few clouds
273,Kimbe,PG,-5.5502,150.1429,86.27,65,34,4.99,scattered clouds
274,Alta Floresta,BR,-9.8756,-56.0861,73.17,97,100,3.22,overcast clouds
275,New London,US,41.4834,-72.0662,39.0,100,1,4.81,mist
276,La Asuncion,VE,11.0333,-63.8628,76.71,82,19,15.59,few clouds
277,Mehamn,NO,71.0357,27.8492,25.97,93,100,19.46,light snow
278,Wewak,PG,-3.5534,143.6268,82.54,72,98,0.92,overcast clouds
279,Bengkulu,ID,-3.8004,102.2655,78.51,78,100,4.79,overcast clouds
280,Port Macquarie,AU,-31.4333,152.9167,82.0,57,100,3.0,overcast clouds
281,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,9.22,light rain
282,Panguna,PG,-6.3164,155.4848,84.4,58,10,3.69,clear sky
283,Hami,CN,42.8,93.45,27.3,85,0,5.01,clear sky
